model,dx,dy,k,h,noise_dist,noise_std,seed_rep,loss_phi,mse
preANM,2,2,2,cubic,uniform,1.0,0,power_0.5,0.12073507159948349
preANM,2,2,2,cubic,uniform,1.0,0,power_1,328.7123107910156
preANM,2,2,2,cubic,uniform,1.0,0,exp,0.0756182074546814
preANM,2,2,2,cubic,uniform,1.0,0,log1p,0.05281987413764
preANM,2,2,2,cubic,uniform,1.0,0,frac,0.058811284601688385
preANM,2,2,2,cubic,uniform,1.0,1,power_0.5,0.0014701257459819317
preANM,2,2,2,cubic,uniform,1.0,1,power_1,0.03191675990819931
preANM,2,2,2,cubic,uniform,1.0,1,exp,0.0011438867077231407
preANM,2,2,2,cubic,uniform,1.0,1,log1p,0.0024232626892626286
preANM,2,2,2,cubic,uniform,1.0,1,frac,0.0010749840876087546
preANM,2,2,2,cubic,uniform,1.0,2,power_0.5,0.0050814333371818066
preANM,2,2,2,cubic,uniform,1.0,2,power_1,0.1631578952074051
preANM,2,2,2,cubic,uniform,1.0,2,exp,0.006288529373705387
preANM,2,2,2,cubic,uniform,1.0,2,log1p,0.006895625963807106
preANM,2,2,2,cubic,uniform,1.0,2,frac,0.0081102279946208
preANM,2,2,2,cubic,uniform,1.0,3,power_0.5,0.0015139259630814195
preANM,2,2,2,cubic,uniform,1.0,3,power_1,0.006414453033357859
preANM,2,2,2,cubic,uniform,1.0,3,exp,0.0018219558987766504
preANM,2,2,2,cubic,uniform,1.0,3,log1p,0.001848849467933178
preANM,2,2,2,cubic,uniform,1.0,3,frac,0.0013281147694215178
preANM,2,2,2,cubic,uniform,1.0,4,power_0.5,1.102433681488037
preANM,2,2,2,cubic,uniform,1.0,4,power_1,1564.7060546875
preANM,2,2,2,cubic,uniform,1.0,4,exp,0.9656520485877991
preANM,2,2,2,cubic,uniform,1.0,4,log1p,2.021428108215332
preANM,2,2,2,cubic,uniform,1.0,4,frac,1.7838575839996338
preANM,2,2,2,cubic,uniform,1.0,5,power_0.5,0.0045839413069188595
preANM,2,2,2,cubic,uniform,1.0,5,power_1,0.18186905980110168
preANM,2,2,2,cubic,uniform,1.0,5,exp,0.0034825217444449663
preANM,2,2,2,cubic,uniform,1.0,5,log1p,0.0073045468889176846
preANM,2,2,2,cubic,uniform,1.0,5,frac,0.004536197520792484
preANM,2,2,2,cubic,uniform,1.0,6,power_0.5,3.4540319442749023
preANM,2,2,2,cubic,uniform,1.0,6,power_1,54.66492462158203
preANM,2,2,2,cubic,uniform,1.0,6,exp,4.781546592712402
preANM,2,2,2,cubic,uniform,1.0,6,log1p,4.877331256866455
